config,side,run,scenario,cache,world_chunks,grid_width,scan_limit,populate_s,cold_s,warm_s,warm_over_cold,cold_pages,warm_pages,cold_coords,warm_coords,cold_large_dirs_listed,warm_large_dirs_listed,cold_cached_merged,warm_cached_merged,resident_chunks,fs
wide,before,1,chunkscan,65536,60000,1024,1024,16.810,8.7010,0.1802,0.021,59,59,60000,60000,1496,1496,0,60416,60000,apfs
wide,before,2,chunkscan,65536,60000,1024,1024,13.627,5.3588,0.1819,0.034,59,59,60000,60000,1496,1496,0,60416,60000,apfs
wide,before,3,chunkscan,65536,60000,1024,1024,13.529,5.5955,0.1759,0.031,59,59,60000,60000,1496,1496,0,60416,60000,apfs
wide,after,1,chunkscan,65536,60000,1024,1024,13.430,2.3786,0.1476,0.062,59,59,60000,60000,1443,1443,0,1443,60000,apfs
wide,after,2,chunkscan,65536,60000,1024,1024,13.501,4.3303,0.1553,0.036,59,59,60000,60000,1443,1443,0,1443,60000,apfs
wide,after,3,chunkscan,65536,60000,1024,1024,13.571,2.2938,0.1502,0.065,59,59,60000,60000,1443,1443,0,1443,60000,apfs
small-page,before,1,chunkscan,65536,60000,1024,64,13.395,3.3800,1.4706,0.435,938,938,60000,60000,8696,8696,0,960512,60000,apfs
small-page,before,2,chunkscan,65536,60000,1024,64,13.748,3.4713,1.5078,0.434,938,938,60000,60000,8696,8696,0,960512,60000,apfs
small-page,before,3,chunkscan,65536,60000,1024,64,13.415,4.2781,1.5132,0.354,938,938,60000,60000,8696,8696,0,960512,60000,apfs
small-page,after,1,chunkscan,65536,60000,1024,64,13.560,3.3413,1.1070,0.331,938,938,60000,60000,7755,7755,0,7755,60000,apfs
small-page,after,2,chunkscan,65536,60000,1024,64,13.737,6.0156,1.1306,0.188,938,938,60000,60000,7755,7755,0,7755,60000,apfs
small-page,after,3,chunkscan,65536,60000,1024,64,13.838,4.0824,1.1301,0.277,938,938,60000,60000,7755,7755,0,7755,60000,apfs
narrow,before,1,chunkscan,65536,40000,8,1024,9.065,3.1172,1.5806,0.507,40,40,40000,40000,25000,25000,0,25000,40000,apfs
narrow,before,2,chunkscan,65536,40000,8,1024,9.125,3.0969,1.5752,0.509,40,40,40000,40000,25000,25000,0,25000,40000,apfs
narrow,before,3,chunkscan,65536,40000,8,1024,9.091,3.0586,1.5768,0.516,40,40,40000,40000,25000,25000,0,25000,40000,apfs
narrow,after,1,chunkscan,65536,40000,8,1024,10.453,5.3398,0.6650,0.125,40,40,40000,40000,8538,8538,0,8538,40000,apfs
narrow,after,2,chunkscan,65536,40000,8,1024,10.581,3.9184,0.5652,0.144,40,40,40000,40000,8538,8538,0,8538,40000,apfs
narrow,after,3,chunkscan,65536,40000,8,1024,9.393,3.8069,0.5580,0.147,40,40,40000,40000,8538,8538,0,8538,40000,apfs
