run,threads,cache,measured_chunks,durability,total_s,ops_s,evictions,eviction_forced_wal_flushes,wal_batch_flushes,checkpoints,s_per_eviction,ms_per_eviction,loaded_chunks,rss_baseline_bytes,rss_current_bytes,rss_bytes_per_resident_chunk,loaded_after_warmup,rss_after_warmup_bytes,rss_bytes_per_warm_chunk,warmup_s,close_s,fs,durable_sync,durable_sync_median_us
1,1,16384,15000,relaxed,162.9292,92.06,15375,15375,15375,0,0.010597,10.597,16009,1474560,102973440,6340.1,16384,99205120,5965.0,0.115,0.000,apfs,fullfsync,3892.3
2,1,16384,15000,relaxed,170.7329,87.86,15375,15375,15375,0,0.011105,11.105,16009,103038976,193462272,5648.3,16384,197525504,5767.0,0.123,0.000,apfs,fullfsync,3892.3
3,1,16384,15000,relaxed,181.7346,82.54,15375,15375,15375,0,0.011820,11.820,16009,193462272,278347776,5302.4,16384,288653312,5810.0,0.123,0.000,apfs,fullfsync,3892.3
4,1,16384,15000,relaxed,192.7620,77.82,15375,15375,15375,0,0.012537,12.537,16009,278347776,376340480,6121.1,16384,373276672,5794.0,0.118,0.000,apfs,fullfsync,3892.3
5,1,16384,15000,relaxed,165.4242,90.68,15375,15375,15375,0,0.010759,10.759,16009,376340480,413974528,2350.8,16384,470253568,5732.0,0.110,0.000,apfs,fullfsync,3892.3
1,4,16384,15000,relaxed,105.3879,142.33,18456,18456,18456,0,0.005710,5.710,12928,1474560,103464960,7889.1,16384,99483648,5982.0,0.121,0.000,apfs,fullfsync,3919.5
2,4,16384,15000,relaxed,106.2667,141.15,18456,18456,18456,0,0.005758,5.758,12928,103514112,183877632,6216.2,16384,180469760,4697.0,0.112,0.000,apfs,fullfsync,3919.5
3,4,16384,15000,relaxed,111.6729,134.32,18456,18456,18456,0,0.006051,6.051,12928,183877632,263716864,6175.7,16384,260145152,4655.0,0.117,0.000,apfs,fullfsync,3919.5
4,4,16384,15000,relaxed,111.7418,134.24,18456,18456,18456,0,0.006054,6.054,12928,263716864,343965696,6207.4,16384,340590592,4692.0,0.111,0.000,apfs,fullfsync,3919.5
5,4,16384,15000,relaxed,119.5060,125.52,18456,18456,18456,0,0.006475,6.475,12928,343965696,423575552,6157.9,16384,420216832,4654.0,0.111,0.000,apfs,fullfsync,3919.5
1,8,16384,15000,relaxed,38.1278,393.41,22580,22580,22580,0,0.001689,1.689,8804,1474560,103481344,11586.4,16384,99467264,5981.0,0.115,0.000,apfs,fullfsync,4003.2
2,8,16384,15000,relaxed,36.0703,415.85,22578,22578,22578,0,0.001598,1.598,8806,103530496,160350208,6452.4,16384,157040640,3266.0,0.113,0.000,apfs,fullfsync,4003.2
3,8,16384,15000,relaxed,37.4469,400.57,22578,22578,22578,0,0.001659,1.659,8806,160350208,217268224,6463.5,16384,213843968,3265.0,0.106,0.000,apfs,fullfsync,4003.2
4,8,16384,15000,relaxed,38.9996,384.62,22578,22578,22578,0,0.001727,1.727,8806,217268224,272941056,6322.1,16384,270123008,3226.0,0.108,0.000,apfs,fullfsync,4003.2
5,8,16384,15000,relaxed,38.8204,386.39,21553,21553,21553,0,0.001801,1.801,9831,272941056,329990144,5803.0,16384,326762496,3285.0,0.116,0.000,apfs,fullfsync,4003.2
1,16,16384,15000,relaxed,18.6037,806.29,22671,22671,22671,0,0.000821,0.821,8713,1474560,104497152,11824.0,16384,99205120,5965.0,0.122,0.000,apfs,fullfsync,4913.7
2,16,16384,15000,relaxed,8.2918,1809.01,28827,28827,28827,0,0.000288,0.288,2557,104497152,161841152,22426.3,16384,156286976,3161.0,0.117,0.000,apfs,fullfsync,4913.7
3,16,16384,15000,relaxed,23.4997,638.31,21645,21645,21645,0,0.001086,1.086,9739,161841152,181436416,2012.0,16384,177405952,950.0,0.111,0.000,apfs,fullfsync,4913.7
4,16,16384,15000,relaxed,6.7513,2221.78,30888,30888,30888,0,0.000219,0.219,496,181436416,244105216,126348.4,16384,238665728,3493.0,0.122,0.000,apfs,fullfsync,4913.7
5,16,16384,15000,relaxed,16.9056,887.28,22674,22674,22674,0,0.000746,0.746,8710,244105216,251920384,897.3,16384,247693312,219.0,0.112,0.000,apfs,fullfsync,4913.7
1,32,16384,15000,relaxed,7.5621,1983.58,29889,29889,29889,0,0.000253,0.253,1495,1474560,106676224,70369.0,16384,99483648,5982.0,0.121,0.000,apfs,fullfsync,3917.4
2,32,16384,15000,relaxed,3.7908,3956.92,31382,31382,31382,0,0.000121,0.121,2,106676224,122126336,7725056.0,16384,116293632,587.0,0.110,0.000,apfs,fullfsync,3917.4
3,32,16384,15000,relaxed,4.1631,3603.06,31383,31383,31383,0,0.000133,0.133,1,122126336,128008192,5881856.0,16384,122503168,23.0,0.112,0.000,apfs,fullfsync,3917.4
4,32,16384,15000,relaxed,3.7994,3947.97,31383,31383,31383,0,0.000121,0.121,1,128008192,134152192,6144000.0,16384,128712704,43.0,0.107,0.000,apfs,fullfsync,3917.4
5,32,16384,15000,relaxed,3.7301,4021.37,31382,31382,31382,0,0.000119,0.119,2,134152192,140361728,3104768.0,16384,134840320,42.0,0.108,0.000,apfs,fullfsync,3917.4
1,64,16384,15000,relaxed,5.8035,2584.67,31382,31382,31382,0,0.000185,0.185,2,1474560,105512960,52019200.0,16384,99221504,5966.0,0.117,0.000,apfs,fullfsync,3974.4
2,64,16384,15000,relaxed,5.5447,2705.29,31382,31382,31382,0,0.000177,0.177,2,105512960,112164864,3325952.0,16384,108003328,152.0,0.116,0.000,apfs,fullfsync,3974.4
3,64,16384,15000,relaxed,5.1924,2888.86,31382,31382,31382,0,0.000165,0.165,2,112164864,118800384,3317760.0,16384,114671616,153.0,0.105,0.000,apfs,fullfsync,3974.4
4,64,16384,15000,relaxed,5.2217,2872.62,31383,31383,31383,0,0.000166,0.166,1,118800384,125288448,6488064.0,16384,121405440,159.0,0.109,0.000,apfs,fullfsync,3974.4
5,64,16384,15000,relaxed,5.1825,2894.33,31383,31383,31383,0,0.000165,0.165,1,125288448,130990080,5701632.0,16384,126894080,98.0,0.109,0.000,apfs,fullfsync,3974.4
